노선번호,정류소명,구군
부산진구15,연학초등학교,부산진구
부산진구15,연학초등학교,부산진구
부산진구15,삼광사,부산진구
부산진구15,삼광사,부산진구
부산진구15,초읍초등학교,부산진구
부산진구15,초읍우신아파트,부산진구
부산진구15,초읍초등학교,부산진구
부산진구15,창신아파트,부산진구
부산진구15,원당골,부산진구
부산진구15,초읍대우아파트,부산진구
부산진구15,초읍중학교,부산진구
부산진구6,동의대학교도서관,부산진구
부산진구6-1,동의대학교도서관,부산진구
부산진구6,동의대학교본관,부산진구
부산진구6-1,동의대학교본관,부산진구
부산진구9,동의대학교본관,부산진구
부산진구6,동의대학교입구,부산진구
부산진구6-1,동의대학교입구,부산진구
부산진구9,동의대학교입구,부산진구
부산진구6,동의대학교자연대학,부산진구
부산진구6-1,동의대학교자연대학,부산진구
부산진구9,동의대학교자연대학,부산진구
5-1,양정역4번출구,부산진구
20,양정역4번출구,부산진구
57,양정역4번출구,부산진구
62,양정역4번출구,부산진구
63,양정역4번출구,부산진구
141-F,양정역4번출구,부산진구
부산진구7,파리바게뜨,부산진구
부산진구8,파리바게뜨,부산진구
63,백조아파트,부산진구
131,백조아파트,부산진구
179,백조아파트,부산진구
10,하마정,연제구
31,하마정,연제구
43,하마정,연제구
44,하마정,연제구
52,하마정,연제구
77,하마정,연제구
80,하마정,연제구
111,하마정,연제구
129-1,하마정,연제구
131,하마정,연제구
506,하마정,연제구
1002-F,하마정,연제구
63,백조아파트,부산진구
131,백조아파트,부산진구
179,백조아파트,부산진구
10,하마정,부산진구
33,하마정,부산진구
43,하마정,부산진구
52,하마정,부산진구
77,하마정,부산진구
80,하마정,부산진구
129-1,하마정,부산진구
1002-F,하마정,부산진구
33,하마정,부산진구
44,하마정,부산진구
63,하마정,부산진구
179,하마정,부산진구
506,하마정,부산진구
5-1,세정고·양정119안전센터,부산진구
20,세정고·양정119안전센터,부산진구
57,세정고·양정119안전센터,부산진구
62,세정고·양정119안전센터,부산진구
63,세정고·양정119안전센터,부산진구
141-F,세정고·양정119안전센터,부산진구
33,양정현대아파트,부산진구
44,양정현대아파트,부산진구
63,양정현대아파트,부산진구
131,양정현대아파트,부산진구
179,양정현대아파트,부산진구
506,양정현대아파트,부산진구
33,정묘사,부산진구
44,정묘사,부산진구
63,정묘사,부산진구
179,정묘사,부산진구
506,정묘사,부산진구
33,화인아파트,부산진구
44,화인아파트,부산진구
63,화인아파트,부산진구
168,화인아파트,부산진구
179,화인아파트,부산진구
33,화인아파트,부산진구
44,화인아파트,부산진구
63,화인아파트,부산진구
179,화인아파트,부산진구
506,화인아파트,부산진구
33,정묘사,부산진구
44,정묘사,부산진구
63,정묘사,부산진구
179,정묘사,부산진구
506,정묘사,부산진구
부산진구13,화인아파트,부산진구
33,부산시민공원,부산진구
44,부산시민공원,부산진구
63,부산시민공원,부산진구
168,부산시민공원,부산진구
179,부산시민공원,부산진구
부산진구11,양정자이더샵SK뷰,부산진구
부산진구8,부산진여자고등학교,부산진구
부산진구7,동의의료원사거리,부산진구
부산진구11,동의의료원사거리,부산진구
부산진구8,양정성당,부산진구
5-1,범내골역.상공회의소,부산진구
10,범내골역.상공회의소,부산진구
29,범내골역.상공회의소,부산진구
43,범내골역.상공회의소,부산진구
57,범내골역.상공회의소,부산진구
67,범내골역.상공회의소,부산진구
80,범내골역.상공회의소,부산진구
103,범내골역.상공회의소,부산진구
111,범내골역.상공회의소,부산진구
38,범내골역.상공회의소,부산진구
82,범내골역.상공회의소,부산진구
동구1-1,범내골역,부산진구
동구1,범내골역,부산진구
67,범내골역,부산진구
5-1,지오플레이스,부산진구
10,지오플레이스,부산진구
29,지오플레이스,부산진구
43,지오플레이스,부산진구
57,지오플레이스,부산진구
67,지오플레이스,부산진구
80,지오플레이스,부산진구
82,지오플레이스,부산진구
103,지오플레이스,부산진구
111,지오플레이스,부산진구
부산진구2,부전역,부산진구
20,전포초등학교,부산진구
24,전포초등학교,부산진구
83-1,전포초등학교,부산진구
88,전포초등학교,부산진구
167,전포초등학교,부산진구
부산진구11,부전역,부산진구
부산진구13,부전역,부산진구
부산진구11,부전시장,부산진구
부산진구13,부전시장,부산진구
10,양정대원칸타빌,부산진구
31,양정대원칸타빌,부산진구
33,양정대원칸타빌,부산진구
43,양정대원칸타빌,부산진구
52,양정대원칸타빌,부산진구
77,양정대원칸타빌,부산진구
80,양정대원칸타빌,부산진구
111,양정대원칸타빌,부산진구
129-1,양정대원칸타빌,부산진구
1002-F,양정대원칸타빌,부산진구
부산진구13,대원칸타빌아파트,부산진구
22,자유.평화시장,동구
27,자유.평화시장,동구
38-1,자유.평화시장,동구
40,자유.평화시장,동구
42,자유.평화시장,동구
57,자유.평화시장,동구
68,자유.평화시장,동구
80,자유.평화시장,동구
83-1,자유.평화시장,동구
99,자유.평화시장,동구
101,자유.평화시장,동구
111,자유.평화시장,동구
134,자유.평화시장,동구
남구3,범일역,동구
남구5,범일역,동구
동구1-1,좋은문화병원,동구
38,성북초등학교,부산진구
82,성북초등학교,부산진구
583,성북초등학교,부산진구
부산진구12,성북초등학교,부산진구
사상구6,성북초등학교,부산진구
24,문전교차로,남구
138-1,문전교차로,남구
24,국제금융센터.부산은행역,남구
138-1,국제금융센터.부산은행역,남구
