노선ID,노선번호,정류소순번,정류소명,노드ID
5290515000,부산진구15,12,연학초등학교,163900101
5290515000,부산진구15,32,연학초등학교,163900101
5290515000,부산진구15,11,삼광사,163910301
5290515000,부산진구15,31,삼광사,163910301
5290515000,부산진구15,37,초읍초등학교,163930101
5290515000,부산진구15,38,초읍우신아파트,163950101
5290515000,부산진구15,5,초읍초등학교,163950201
5290515000,부산진구15,4,창신아파트,163960201
5290515000,부산진구15,41,원당골,163970101
5290515000,부산진구15,40,초읍대우아파트,163970102
5290515000,부산진구15,39,초읍중학교,163970103
5290506000,부산진구6,2,동의대학교도서관,163980101
5290506100,부산진구6-1,2,동의대학교도서관,163980101
5290506000,부산진구6,1,동의대학교본관,163980102
5290506100,부산진구6-1,1,동의대학교본관,163980102
5290509000,부산진구9,1,동의대학교본관,163980102
5290506000,부산진구6,4,동의대학교입구,163980103
5290506100,부산진구6-1,4,동의대학교입구,163980103
5290509000,부산진구9,3,동의대학교입구,163980103
5290506000,부산진구6,3,동의대학교자연대학,163980104
5290506100,부산진구6-1,3,동의대학교자연대학,163980104
5290509000,부산진구9,2,동의대학교자연대학,163980104
5200005100,5-1,97,양정역4번출구,164000201
5200020000,20,41,양정역4번출구,164000201
5200057000,57,63,양정역4번출구,164000201
5200062000,62,71,양정역4번출구,164000201
5200063000,63,85,양정역4번출구,164000201
5200141F00,141-F,55,양정역4번출구,164000201
5290507000,부산진구7,7,파리바게뜨,164000202
5290508000,부산진구8,6,파리바게뜨,164000202
5200063000,63,45,백조아파트,164000501
5200131000,131,110,백조아파트,164000501
5200179000,179,29,백조아파트,164000501
5200010000,10,94,하마정,164010101
5200031000,31,110,하마정,164010101
5200043000,43,94,하마정,164010101
5200044000,44,75,하마정,164010101
5200052000,52,78,하마정,164010101
5200077000,77,32,하마정,164010101
5200080000,80,70,하마정,164010101
5200111000,111,68,하마정,164010101
5200129100,129-1,87,하마정,164010101
5200131000,131,111,하마정,164010101
5200506000,506,40,하마정,164010101
5201002F00,1002-F,88,하마정,164010101
5200063000,63,84,백조아파트,164010201
5200131000,131,43,백조아파트,164010201
5200179000,179,63,백조아파트,164010201
5200010000,10,30,하마정,164010301
5200033000,33,12,하마정,164010301
5200043000,43,37,하마정,164010301
5200052000,52,26,하마정,164010301
5200077000,77,77,하마정,164010301
5200080000,80,48,하마정,164010301
5200129100,129-1,35,하마정,164010301
5201002F00,1002-F,77,하마정,164010301
5200033000,33,104,하마정,164010401
5200044000,44,33,하마정,164010401
5200063000,63,46,하마정,164010401
5200179000,179,30,하마정,164010401
5200506000,506,28,하마정,164010401
5200005100,5-1,98,세정고·양정119안전센터,164020101
5200020000,20,42,세정고·양정119안전센터,164020101
5200057000,57,64,세정고·양정119안전센터,164020101
5200062000,62,72,세정고·양정119안전센터,164020101
5200063000,63,86,세정고·양정119안전센터,164020101
5200141F00,141-F,56,세정고·양정119안전센터,164020101
5200033000,33,11,양정현대아파트,164030101
5200044000,44,74,양정현대아파트,164030101
5200063000,63,83,양정현대아파트,164030101
5200131000,131,42,양정현대아파트,164030101
5200179000,179,62,양정현대아파트,164030101
5200506000,506,39,양정현대아파트,164030101
5200033000,33,105,정묘사,164030301
5200044000,44,34,정묘사,164030301
5200063000,63,47,정묘사,164030301
5200179000,179,31,정묘사,164030301
5200506000,506,29,정묘사,164030301
5200033000,33,106,화인아파트,164030302
5200044000,44,35,화인아파트,164030302
5200063000,63,48,화인아파트,164030302
5200168000,168,50,화인아파트,164030302
5200179000,179,32,화인아파트,164030302
5200033000,33,9,화인아파트,164040101
5200044000,44,72,화인아파트,164040101
5200063000,63,81,화인아파트,164040101
5200179000,179,60,화인아파트,164040101
5200506000,506,37,화인아파트,164040101
5200033000,33,10,정묘사,164040102
5200044000,44,73,정묘사,164040102
5200063000,63,82,정묘사,164040102
5200179000,179,61,정묘사,164040102
5200506000,506,38,정묘사,164040102
5290513000,부산진구13,3,화인아파트,164040103
5200033000,33,107,부산시민공원,164040201
5200044000,44,36,부산시민공원,164040201
5200063000,63,49,부산시민공원,164040201
5200168000,168,51,부산시민공원,164040201
5200179000,179,33,부산시민공원,164040201
5290511000,부산진구11,43,양정자이더샵SK뷰,164080101
5290508000,부산진구8,8,부산진여자고등학교,164080201
5290507000,부산진구7,8,동의의료원사거리,164080301
5290511000,부산진구11,4,동의의료원사거리,164080301
5290508000,부산진구8,4,양정성당,164080302
5200005100,5-1,90,범내골역.상공회의소,164090201
5200010000,10,87,범내골역.상공회의소,164090201
5200029000,29,82,범내골역.상공회의소,164090201
5200043000,43,87,범내골역.상공회의소,164090201
5200057000,57,56,범내골역.상공회의소,164090201
5200067000,67,77,범내골역.상공회의소,164090201
5200080000,80,63,범내골역.상공회의소,164090201
5200103000,103,110,범내골역.상공회의소,164090201
5200111000,111,61,범내골역.상공회의소,164090201
5200038000,38,105,범내골역.상공회의소,164090202
5200082000,82,36,범내골역.상공회의소,164090202
5290301100,동구1-1,10,범내골역,164090401
5290301000,동구1,13,범내골역,164090501
5200067000,67,17,범내골역,164100302
5200005100,5-1,91,지오플레이스,164160301
5200010000,10,88,지오플레이스,164160301
5200029000,29,83,지오플레이스,164160301
5200043000,43,88,지오플레이스,164160301
5200057000,57,57,지오플레이스,164160301
5200067000,67,78,지오플레이스,164160301
5200080000,80,64,지오플레이스,164160301
5200082000,82,50,지오플레이스,164160301
5200103000,103,111,지오플레이스,164160301
5200111000,111,62,지오플레이스,164160301
5290502000,부산진구2,1,부전역,164170201
5200020000,20,33,전포초등학교,164170301
5200024000,24,32,전포초등학교,164170301
5200083100,83-1,33,전포초등학교,164170301
5200088000,88,39,전포초등학교,164170301
5200167000,167,67,전포초등학교,164170301
5290511000,부산진구11,25,부전역,164170501
5290513000,부산진구13,12,부전역,164170501
5290511000,부산진구11,26,부전시장,164170502
5290513000,부산진구13,13,부전시장,164170502
5200010000,10,93,양정대원칸타빌,164190101
5200031000,31,109,양정대원칸타빌,164190101
5200033000,33,102,양정대원칸타빌,164190101
5200043000,43,93,양정대원칸타빌,164190101
5200052000,52,77,양정대원칸타빌,164190101
5200077000,77,31,양정대원칸타빌,164190101
5200080000,80,69,양정대원칸타빌,164190101
5200111000,111,67,양정대원칸타빌,164190101
