lineid,buslinenum,bustype,startpoint,endpoint,companyid,headway,firsttime,endtime,headwaypeak,headwaynorm,headwayholi
5200010000,10,일반버스,연제공용차고지,감만현대아파트사거리,국제,7,04:30,22:15,12,12,16
5200100000,100,일반버스,청강리공영차고지,장전역,해동,8,04:50,21:50,15,16,19
5200100100,100-1,일반버스,송정,장전역,해동,8,05:00,22:10,17,19,21
5201001000,1001,급행버스,청강리공영차고지,하단,부일,9-10,04:30,22:00,11,12,12
5201002000,1002,급행버스,용당공영차고지,해운대구문화복합센터,삼신,20,04:50,22:00,17,17,19
5201002F00,1002(심야),심야버스(급행),용당공영차고지,서면,삼신,18,22:30,23:00,15,15,15
5201003000,1003,급행버스,기장교리,부산대학병원,부산,10-11,04:20,22:20,8,11,13
5201003F00,1003(심야),심야버스(급행),기장교리,부산대학병원,부산,10,22:40,23:45,20,20,20
5201004000,1004,급행버스,김해,부산항국제여객터미널,태영,7,04:50,21:40,31,33,37
5201004F00,1004(심야),심야버스(급행),김해,충무동,태영,20,23:20,23:20,-,-,-
5200101000,101,일반버스,태종대,감만현대아파트,신한,10-11,04:45,22:15,8,13,17
5200103000,103,일반버스,연제공용차고지,장림,동원,8,05:00,22:00,8,12,14
5200105000,105,일반버스,사직동,정관,학성,,05:00,21:50,11,17,20
5200106000,106,일반버스,정관,서면,세진,,04:50,21:40,10,15,17
5200107000,107,일반버스,정관,센텀시티역,세진,,05:00,22:25,15,15,18
5200108000,108,일반버스,민락동,엄궁아파트단지,오성,7-8,05:00,22:20,8,12,15
5200109000,109,일반버스,강서공영차고지,구포역,"금진, 태영",,05:00,20:45,36,40,40
5200011000,11,일반버스,다대포,영선동,동진,5-6,05:00,22:00,8,12,15
5200110000,110,일반버스,학장동,장전역,대도,0,04:55,22:50,9,13,18
5200110100,110-1,일반버스,가야벽산APT,부산대,대도,4-5,05:00,23:00,5,8,9
5200111000,111,일반버스,금곡동,부산진시장,삼진,5,05:00,22:10,10,14,17
5200111100,111-1,일반버스,연제공용차고지,금곡동,국제,,05:00,22:00,12,12,15
5200113000,113,일반버스,영도중리,신평공단,신한,7-8,04:45,22:19,6,8,11
5200115000,115,일반버스,연산9동,왕자아파트,삼성,45,05:20,22:40,22,24,40
5200115100,115-1,일반버스,반송,해운대구청,"대진,일신",7,04:40,22:10,5,8,9
5200121000,121,일반버스,금곡동,장전역,삼진,18,05:00,22:15,28,28,28
