노선번호,노선ID,버스종류,기점,종점,첫차,막차,기본배차,평일배차,출퇴근배차,휴일배차,정류소순번,정류소명,ARS번호,노드ID,위도,경도
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,1,연제공용버스차고지,13179,171730401,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,2,초읍고개,13183,504610000,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,3,개인택시조합,13132,171730104,35.1876864,129.0570240
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,4,부산의료원 정문,13186,515210000,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,5,부산의료원,13123,193490101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,6,삼정그린아파트,13029,193480101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,7,사직실내수영장,13170,193530201,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,8,아시아드주경기장,13172,194420201,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,9,사직119안전센터,13174,193640301,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,10,사직여중,06103,165810301,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,11,사직여고,06105,165810302,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,12,사직중학교,06106,165810303,35.1991200,129.0539264
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,13,사직초등학교,06107,165810304,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,14,사직2동행정복지센터,06108,165800201,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,15,삼익아파트,06111,165800202,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,16,국민시장,06112,166600201,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,17,사직야구장,06125,166610202,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,18,사직운동장,06129,166260101,35.1964960,129.0653440
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,19,여명중학교,06133,166660101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,20,대선주조,13001,193720101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,21,화신아파트,13002,165960101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,22,부전교회,13714,165650201,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,23,교대역,13701,505740000,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,24,동해선교대역,13713,505750000,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,25,거제1치안센터,13011,193510301,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,26,법원검찰청.거제역,13137,193520201,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,27,경남아파트,13026,193840301,35.1858240,129.0713344
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,28,동해선거제해맞이역,13031,193570301,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,29,유림아시아드아파트.거제초교,13035,209020201,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,30,하마정,05027,164010301,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,31,양정대원칸타빌,05026,164390201,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,32,송상현광장,05705,505890000,35.1642976,129.0641792
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,33,부전역,05707,505820000,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,34,부전시장,05709,505800000,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,35,서면역.서면지하상가,05711,505850000,35.1563744,129.0592512
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,36,서면한전,05713,505880000,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,37,범내골역,05715,509870000,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,38,"중앙시장,골드테마거리",05717,510100000,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,39,범일동국민은행,03146,169990101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,40,문현교차로,07048,179810301,35.1371616,129.0715392
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,41,문현3동행정복지센터,07039,179860101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,42,문현삼거리,07038,179890102,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,43,현대주유소,07030,179890101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,44,대연SK뷰아파트,07028,179900101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,45,연포초등학교,07026,180210101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,46,세연고등학교,07024,180210102,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,47,대연교회,07022,180740101,35.1381344,129.0902400
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,48,대연초등학교,07021,180740102,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,49,대연역,07015,180700101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,50,경성대학교입구,07010,180750201,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,51,부경대대연캠퍼스,07012,180750202,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,52,대연자이아파트,07125,180380101,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,53,대천중학교,07124,180320301,,
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16,54,한국산업인력공단남부지사,07121,180890201,,
