노선ID,노선번호,정류소순번,정류소명,ARS번호,위도,경도,노드ID
5200010000,10,1,연제공용버스차고지,13179,,,171730401
5200010000,10,2,초읍고개,13183,,,504610000
5200010000,10,3,개인택시조합,13132,35.1876864,129.0570240,171730104
5200010000,10,4,부산의료원 정문,13186,,,515210000
5200010000,10,5,부산의료원,13123,,,193490101
5200010000,10,6,삼정그린아파트,13029,,,193480101
5200010000,10,7,사직실내수영장,13170,,,193530201
5200010000,10,8,아시아드주경기장,13172,,,194420201
5200010000,10,9,사직119안전센터,13174,,,193640301
5200010000,10,10,사직여중,06103,,,165810301
5200010000,10,11,사직여고,06105,,,165810302
5200010000,10,12,사직중학교,06106,35.1991200,129.0539264,165810303
5200010000,10,13,사직초등학교,06107,,,165810304
5200010000,10,14,사직2동행정복지센터,06108,,,165800201
5200010000,10,15,삼익아파트,06111,,,165800202
5200010000,10,16,국민시장,06112,,,166600201
5200010000,10,17,사직야구장,06125,,,166610202
5200010000,10,18,사직운동장,06129,35.1964960,129.0653440,166260101
5200010000,10,19,여명중학교,06133,,,166660101
5200010000,10,20,대선주조,13001,,,193720101
5200010000,10,21,화신아파트,13002,,,165960101
5200010000,10,22,부전교회,13714,,,165650201
5200010000,10,23,교대역,13701,,,505740000
5200010000,10,24,동해선교대역,13713,,,505750000
5200010000,10,25,거제1치안센터,13011,,,193510301
5200010000,10,26,법원검찰청.거제역,13137,,,193520201
5200010000,10,27,경남아파트,13026,35.1858240,129.0713344,193840301
5200010000,10,28,동해선거제해맞이역,13031,,,193570301
5200010000,10,29,유림아시아드아파트.거제초교,13035,,,209020201
5200010000,10,30,하마정,05027,,,164010301
5200010000,10,31,양정대원칸타빌,05026,,,164390201
5200010000,10,32,송상현광장,05705,35.1642976,129.0641792,505890000
5200010000,10,33,부전역,05707,,,505820000
5200010000,10,34,부전시장,05709,,,505800000
5200010000,10,35,서면역.서면지하상가,05711,35.1563744,129.0592512,505850000
5200010000,10,36,서면한전,05713,,,505880000
5200010000,10,37,범내골역,05715,,,509870000
5200010000,10,38,"중앙시장,골드테마거리",05717,,,510100000
5200010000,10,39,범일동국민은행,03146,,,169990101
5200010000,10,40,문현교차로,07048,35.1371616,129.0715392,179810301
5200010000,10,41,문현3동행정복지센터,07039,,,179860101
5200010000,10,42,문현삼거리,07038,,,179890102
5200010000,10,43,현대주유소,07030,,,179890101
5200010000,10,44,대연SK뷰아파트,07028,,,179900101
5200010000,10,45,연포초등학교,07026,,,180210101
5200010000,10,46,세연고등학교,07024,,,180210102
5200010000,10,47,대연교회,07022,35.1381344,129.0902400,180740101
5200010000,10,48,대연초등학교,07021,,,180740102
5200010000,10,49,대연역,07015,,,180700101
5200010000,10,50,경성대학교입구,07010,,,180750201
5200010000,10,51,부경대대연캠퍼스,07012,,,180750202
5200010000,10,52,대연자이아파트,07125,,,180380101
5200010000,10,53,대천중학교,07124,,,180320301
5200010000,10,54,한국산업인력공단남부지사,07121,,,180890201
5200010000,10,55,동명대학교정문,07119,,,180890202
5200010000,10,56,동명대학교후문,07112,,,180480301
5200010000,10,57,부경대용당캠퍼스,07114,,,180900202
5200010000,10,58,용당동,07193,35.1160160,129.0949760,180900201
5200010000,10,59,신선대부두입구,07203,,,180900203
5200010000,10,60,현대오일뱅크,07204,,,180150301
5200010000,10,61,감만현대아파트사거리,07232,,,508400000
