노선번호,노선ID,버스종류,기점,종점,첫차,막차,기본배차,평일배차,출퇴근배차,휴일배차
10,5200010000,일반버스,연제공용차고지,감만현대아파트사거리,04:30,22:15,7,12,12,16
100,5200100000,일반버스,청강리공영차고지,장전역,04:50,21:50,8,16,15,19
100-1,5200100100,일반버스,송정,장전역,05:00,22:10,8,19,17,21
1001,5201001000,급행버스,청강리공영차고지,하단,04:30,22:00,9-10,12,11,12
1002,5201002000,급행버스,용당공영차고지,해운대구문화복합센터,04:50,22:00,20,17,17,19
1002(심야),5201002F00,심야버스(급행),용당공영차고지,서면,22:30,23:00,18,15,15,15
1003,5201003000,급행버스,기장교리,부산대학병원,04:20,22:20,10-11,11,8,13
1003(심야),5201003F00,심야버스(급행),기장교리,부산대학병원,22:40,23:45,10,20,20,20
1004,5201004000,급행버스,김해,부산항국제여객터미널,04:50,21:40,7,33,31,37
1004(심야),5201004F00,심야버스(급행),김해,충무동,23:20,23:20,20,-,-,-
101,5200101000,일반버스,태종대,감만현대아파트,04:45,22:15,10-11,13,8,17
103,5200103000,일반버스,연제공용차고지,장림,05:00,22:00,8,12,8,14
105,5200105000,일반버스,사직동,정관,05:00,21:50,,17,11,20
106,5200106000,일반버스,정관,서면,04:50,21:40,,15,10,17
107,5200107000,일반버스,정관,센텀시티역,05:00,22:25,,15,15,18
108,5200108000,일반버스,민락동,엄궁아파트단지,05:00,22:20,7-8,12,8,15
109,5200109000,일반버스,강서공영차고지,구포역,05:00,20:45,,40,36,40
11,5200011000,일반버스,다대포,영선동,05:00,22:00,5-6,12,8,15
110,5200110000,일반버스,학장동,장전역,04:55,22:50,0,13,9,18
110-1,5200110100,일반버스,가야벽산APT,부산대,05:00,23:00,4-5,8,5,9
111,5200111000,일반버스,금곡동,부산진시장,05:00,22:10,5,14,10,17
111-1,5200111100,일반버스,연제공용차고지,금곡동,05:00,22:00,,12,12,15
113,5200113000,일반버스,영도중리,신평공단,04:45,22:19,7-8,8,6,11
115,5200115000,일반버스,연산9동,왕자아파트,05:20,22:40,45,24,22,40
115-1,5200115100,일반버스,반송,해운대구청,04:40,22:10,7,8,5,9
121,5200121000,일반버스,금곡동,장전역,05:00,22:15,18,28,28,28
122,5200122000,일반버스,김해삼계동,하단역,05:00,21:30,,23,19,33
123,5200123000,일반버스,김해구산동,엄궁농산물시장,04:30,21:20,8,14,13,16
124,5200124000,일반버스,강서공영차고지,장림동원로얄듀크,05:00,21:30,,17,15,20
126,5200126000,일반버스,금곡동,충무동,04:30,22:25,5,10,9,12
127,5200127000,일반버스,김해구산동,동래역,04:40,21:25,12-15,17,15,18
128-1,5200128100,일반버스,강서공영차고지,신라대,05:00,21:20,8-9,10,9,12
129-1,5200129100,일반버스,반송,신라대,05:00,22:00,6-7,10,6,11
131,5200131000,일반버스,금정공영차고지,용호동(오륙도스카이워크),04:20,21:00,10,17,15,21
133,5200133000,일반버스,연제공용차고지,연제공용차고지,04:45,22:30,6-7,12,12,13
133-1,5200133100,일반버스,연제공용차고지,연제공용차고지,04:40,22:30,,11,10,12
134,5200134000,일반버스,용당동,남부민동,04:50,22:30,7-8,10,10,13
138,5200138000,일반버스,장림,용당동,04:30,22:15,8,12,8,15
138-1,5200138100,일반버스,장림,용당동,04:30,22:15,10,16,13,19
139,5200139000,일반버스,기장교리,신해운대역,05:00,21:30,11-12,22,19,22
141,5200141000,일반버스,송정,당감동,05:00,22:00,10,11,8,13
141(심야),5200141F00,심야버스(일반),송정,당감동,23:00,23:40,20,20,20,20
144,5200144000,일반버스,반여3동,장전역,05:30,22:40,20,13,11,15
148,5200148000,일반버스,금정공영차고지,모라주공,04:55,21:40,6-7,10,9,11
15,5200015000,일반버스,금곡동,충무동,05:00,22:05,4,7,7,9
155,5200155000,일반버스,서동,용당동,04:50,22:10,7-8,8,4,10
16,5200016000,일반버스,엄궁,구덕운동장,04:45,22:30,4-5,7,4,9
160,5200160000,일반버스,구포3동,전포동,04:50,22:20,10,11,11,15
161,5200161000,일반버스,강서공영차고지,코레일사상역,05:00,21:20,5-7,10,9,13
167,5200167000,일반버스,개금아파트,동아대병원,05:00,22:30,6-7,12,12,15
168,5200168000,일반버스,용당동,부산시민공원,04:45,21:30,,16,14,21
169,5200169000,일반버스,당감주공,신만덕,04:45,22:30,5,7,4,8
169-1,5200169100,일반버스,구포3동,서면,04:55,22:55,5,7,5,9
17,5200017000,일반버스,태종대,국제백양아파트,04:56,21:40,10,16,14,20
171,5200171000,일반버스,강서공영차고지,부산역,05:00,20:40,,11,10,15
172,5200172000,일반버스,강서공영차고지,부산항국제여객터미널,05:00,20:50,,12,11,15
179,5200179000,일반버스,회동동,국제백양아파트,04:55,23:05,5-6,7,5,8
180,5200180000,일반버스,청강리공영차고지,고원3차아파트,05:00,22:15,60,50,45,50
181,5200181000,일반버스,청강리공영차고지,센텀파크,05:00,21:50,22,18,13,19
182,5200182000,일반버스,청강리공영차고지,정관(모전초등학교),05:00,21:20,,28,28,28
183,5200183000,일반버스,청강리공영차고지,부산대,05:00,22:20,14,16,11,19
183(심야),5200183F00,심야버스(일반),청강리공영차고지,부산대,22:55,23:35,25,40,40,40
184,5200184000,일반버스,정관,반여농산물시장,05:00,22:25,,46,42,46
185,5200185000,일반버스,청강리공영차고지,올림픽교차로환승센터,05:00,21:50,,30,28,30
186,5200186000,일반버스,태종대,서부터미널,04:55,21:40,13,25,22,28
187,5200187000,일반버스,반송,대룡마을,05:00,22:00,,43,40,43
188,5200188000,일반버스,정관,안평역,04:30,22:00,20,35,35,41
189,5200189000,일반버스,반송,연산초등학교,05:10,22:20,11,10,6,12
189-1,5200189100,일반버스,반송,연산교차로,05:00,22:40,8-9,11,9,13
190,5200190000,일반버스,한국해양대,남부민동,04:55,21:50,10,18,13,20
2,5200002000,일반버스,다대포,부산역,05:00,22:05,5,11,7,11
2(심야),5200002F00,심야버스(일반),다대포,부산역,22:50,24:10,,30,30,30
20,5200020000,일반버스,용호동,서면,05:00,22:25,5,8,5,9
200,5200200000,일반버스,청강리공영차고지,구포시장,04:40,21:50,8-9,13,9,15
2000,5202000000,급행버스,하단역,고현(거제),06:00,22:30,,25,25,25
203,5200203000,좌석버스(산성),산성,온천장역,06:00,22:00,20,15,15,10
210,5200210000,일반버스,연제공용차고지,민락수변공원,04:45,22:15,8,13,11,15
22,5200022000,일반버스,용호동,성북고개,05:00,22:35,10,13,12,16
23,5200023000,일반버스,감만동,부산진우체국(가야1치안센터),04:30,22:45,4,6,4,8
24,5200024000,일반버스,용호동,서면,05:00,23:00,4-5,6,3,6
26,5200026000,일반버스,감만동,송도혜성아파트,04:40,22:40,7,8,7,10
27,5200027000,일반버스,용호동,충무동,04:40,22:35,5-6,7,7,9
29,5200029000,일반버스,금정공영차고지,안창마을,04:50,21:20,9,9,9,12
3,5200003000,일반버스,다대포,신호주거단지,05:00,21:50,,14,13,18
30,5200030000,일반버스,태종대,수산가공선진화단지,04:35,23:10,5,10,6,14
300,5200300000,일반버스,금정공영차고지,구포시장,05:00,22:50,30,24,22,24
3001,5203001000,급행버스,다대포,올림픽교차로환승센터,05:00,20:50,,20,18,22
3002,5203002000,급행버스,강서차고지,서면,05:00,21:30,,21,18,24
3003,5203003000,급행버스,태종대,김해공항,05:00,21:30,,37,35,45
3005,5203005000,급행버스,강서공영차고지,코레일사상역,05:00,20:10,,44,39,51
3006,5203006000,급행버스,청강리공영차고지,경제자유구역청,05:00,21:00,,24,24,24
3007,5203007000,급행버스,강서공영차고지,지사과학단지,05:00,20:30,,34,29,39
3008,5203008000,급행버스,기장국민체육센터,동래역,05:20,22:00,,14,12,16
3008(심야),5203008F00,급행버스,좌천원자력의학원,동래역,,,,,,
301,5200301000,일반버스,금정공영차고지,브니엘고등학교,05:00,22:30,20,40,35,43
302,5200302000,일반버스,용당공영차고지,좌천원자력의학원,05:00,22:30,,45,40,47
307,5200307000,일반버스,송정,김해공항,05:00,21:35,15,23,15,25
31,5200031000,일반버스,송정,모라주공,04:40,21:35,8-9,9,9,12
33,5200033000,일반버스,연제공용차고지,만덕,04:25,22:05,4-5,9,9,10
33-1,5200033100,일반버스,연제공용차고지,신라대학교,05:00,22:05,,12,11,16
338,5200338000,일반버스,다대포,모라주공,05:00,21:45,40,11,8,14
36,5200036000,일반버스,청강리공영차고지,거제역,05:00,21:40,9-10,21,20,23
37,5200037000,일반버스,금정공영차고지,고원3차아파트,05:00,22:20,15,22,17,22
38,5200038000,일반버스,청강리공영차고지,중앙공원.민주공원,04:40,21:50,15,28,22,35
38-1,5200038100,일반버스,조선통신사역사관,부산역,06:30,09:25,,60,60,60
39,5200039000,일반버스,기장교리,남구국민체육센터,05:00,22:05,10,13,12,16
40,5200040000,일반버스,청강리공영차고지,구덕운동장,04:40,21:50,9-10,13,8,14
41,5200041000,일반버스,민락동,충무동,05:00,22:45,4-5,8,5,11
42,5200042000,일반버스,회동동,부산항국제여객터미널 ,05:10,22:30,20,13,12,16
43,5200043000,일반버스,회동동,중앙공원.민주공원,04:50,22:20,9,13,8,15
44,5200044000,일반버스,반여3동,당감4동,04:50,22:28,6-7,9,5,9
46,5200046000,일반버스,구포3동,동래중학교,04:55,22:50,10,14,14,20
49,5200049000,일반버스,금정공영차고지,광안리해수욕장,05:00,22:15,6-7,11,8,13
5-1,5200005100,일반버스,회동동,충무동,04:50,22:20,10-11,16,16,20
