locallow_nm,노드ID,정류소명
부산진구,163900101,연학초등학교
부산진구,163910301,삼광사
부산진구,163930101,초읍초등학교
부산진구,163950101,초읍우신아파트
부산진구,163950201,초읍초등학교
부산진구,163960201,창신아파트
부산진구,163970101,원당골
부산진구,163970102,초읍대우아파트
부산진구,163970103,초읍중학교
부산진구,163980101,동의대학교도서관
부산진구,163980102,동의대학교본관
부산진구,163980103,동의대학교입구
부산진구,163980104,동의대학교자연대학
부산진구,164000201,양정역4번출구
부산진구,164000202,파리바게뜨
부산진구,164000501,백조아파트
연제구,164010101,하마정
부산진구,164010201,백조아파트
부산진구,164010301,하마정
부산진구,164010401,하마정
부산진구,164020101,세정고·양정119안전센터
부산진구,164030101,양정현대아파트
부산진구,164030301,정묘사
부산진구,164030302,화인아파트
부산진구,164040101,화인아파트
부산진구,164040102,정묘사
부산진구,164040103,화인아파트
부산진구,164040201,부산시민공원
부산진구,164080101,양정자이더샵SK뷰
부산진구,164080201,부산진여자고등학교
부산진구,164080301,동의의료원사거리
부산진구,164080302,양정성당
부산진구,164090201,범내골역.상공회의소
부산진구,164090202,범내골역.상공회의소
부산진구,164090401,범내골역
부산진구,164090501,범내골역
부산진구,164100302,범내골역
부산진구,164160301,지오플레이스
부산진구,164170201,부전역
부산진구,164170301,전포초등학교
부산진구,164170501,부전역
부산진구,164170502,부전시장
부산진구,164190101,양정대원칸타빌
부산진구,164190102,대원칸타빌아파트
동구,164200201,자유.평화시장
동구,164200202,범일역
동구,164220202,좋은문화병원
부산진구,164240201,성북초등학교
부산진구,164240202,성북초등학교
남구,164240301,문전교차로
남구,164240302,국제금융센터.부산은행역
부산진구,164240401,지오플레이스
부산진구,164260501,경남공고
부산진구,164270101,경남공고(전포역)
부산진구,164280101,부산은행(전포역)
부산진구,164280102,전포1동주민센터
부산진구,164280201,경남공고(전포역)
부산진구,164280301,부전도서관
부산진구,164280401,전포사거리
부산진구,164290102,동성고등학교
부산진구,164290103,부산진여자중학교
부산진구,164290301,부산마케팅고등학교
부산진구,164290302,부산마케팅고등학교
부산진구,164290401,성북초등학교
부산진구,164290402,성북초등학교
부산진구,164290501,지오플레이스
부산진구,164300201,경남공고
부산진구,164300202,경남공업고등학교
부산진구,164300401,부전도서관
부산진구,164310101,동성고교
부산진구,164310102,동성고등학교
부산진구,164310103,부산진여자중학교
부산진구,164310202,전포1동주민센터
부산진구,164320101,전포카페거리
부산진구,164320201,전포사거리
부산진구,164320301,부산진소방서
부산진구,164320302,(구)NC서면점
부산진구,164320303,전포사거리
부산진구,164330101,부산진여자중학교
부산진구,164340101,NC서면점
부산진구,164340102,(구)NC서면점
부산진구,164340201,부전도서관
부산진구,164340401,전포초등학교
부산진구,164340402,전포초등학교
부산진구,164340403,전포초등학교
부산진구,164350201,전포어린이놀이터
부산진구,164350202,전포어린이놀이터
부산진구,164350401,전포초등학교
부산진구,164360101,부전시장
부산진구,164360102,동해선부전역
부산진구,164360201,부전시장입구
부산진구,164360202,국민은행
부산진구,164360203,부전시장
부산진구,164360401,부전시장
부산진구,164370101,부산시민공원
부산진구,164370201,부전역
부산진구,164390201,양정대원칸타빌
부산진구,164390202,대원칸타빌아파트
부산진구,164390401,현대아파트209동
부산진구,164390402,현대아파트213동
부산진구,164400201,전포카페거리
부산진구,164400302,전포어린이놀이터
부산진구,164420501,부전시장입구
부산진구,164450101,서면부속상가
부산진구,164460102,(구)양정육교
부산진구,164460103,양정역
부산진구,164490301,롯데캐슬
부산진구,164520103,쥬디스태화
부산진구,164530101,부산여자대학교정문
부산진구,164530102,성모여자고등학교
부산진구,164530501,동의과학대사거리
부산진구,164530502,양정하이츠아파트
부산진구,164540102,양정성당
부산진구,164540201,양정성당
부산진구,164540202,부산진여자상업고등학교
부산진구,164550101,동의의료원
부산진구,164550201,부산진여자고등학교
부산진구,164550202,양정자이더샵SK뷰2.3단지
부산진구,164560101,전포고개
부산진구,164560103,전포고개
부산진구,164560104,전포삼거리
부산진구,164560201,부산마케팅고등학교
부산진구,164560202,부산마케팅고등학교
부산진구,164570101,전포삼거리
부산진구,164570102,전포아파트
부산진구,164570103,전포아파트
남구,164570201,문현현대2차아파트
부산진구,164570202,전포보람어린이집
부산진구,164570203,남부산교회
부산진구,164570301,전포삼거리
부산진구,164570302,전포고개
부산진구,164570303,전포고개
부산진구,164570304,전포삼거리
부산진구,164580201,전포아파트
부산진구,164580202,전포아파트
부산진구,164580301,파티마의원
부산진구,164580401,파티마의원
부산진구,164580402,협성아파트
부산진구,164600201,부전시장입구
부산진구,164600202,영광도서
부산진구,164620301,네오스포
부산진구,164620303,부암역.부산도시공사
부산진구,164630302,서면역.롯데호텔백화점
부산진구,164630304,롯데호텔백화점.서면역
부산진구,164640301,서면시장
부산진구,164650201,서면복개로
부산진구,164650301,롯데호텔백화점.서면역
부산진구,164670201,"서면,광무교"
부산진구,164670202,서면유림노르웨이숲
부산진구,164670301,부산진초등학교
부산진구,164670501,부산진초등학교
부산진구,164670502,서면1번가
부산진구,164680201,서면역
부산진구,164690101,부산진초등학교
부산진구,164690201,경남아파트
부산진구,164690301,신암
부산진구,164690302,CBS방송국
부산진구,164700401,부산진구청후문
부산진구,164710101,서면역.롯데호텔백화점
부산진구,164710401,부산진경찰서
연제구,164720101,부산시청.시청역
부산진구,164730201,더샵센트럴스타
부산진구,164770201,양정자이더샵SK뷰2.3단지
부산진구,164820301,양정역6번출구
부산진구,164920101,한신아파트
부산진구,164920102,새마을금고
부산진구,164920201,롯데캐슬스카이
부산진구,164920301,항도중학교
부산진구,164930301,적십자회관
부산진구,164940201,한신아파트
부산진구,164940202,새마을금고
부산진구,164960202,천지탕
부산진구,164970202,천지탕
부산진구,165020201,만호빌라
부산진구,165020202,기와집
부산진구,165040201,영화약국
부산진구,165060201,파티마의원
부산진구,165090301,파티마의원
부산진구,165090302,협성아파트
부산진구,165090402,전홍빌라
부산진구,165090403,대동아파트
부산진구,165120201,양정사진관
부산진구,165130101,동의과학대학교
부산진구,165130201,성모여자고등학교
부산진구,165190101,동의의료원
부산진구,165220201,양정역
부산진구,165240101,동평유치원
부산진구,165240201,부암3동행정복지센터
부산진구,165240301,협성피닉스
부산진구,165250301,부암3동행정복지센터
부산진구,165260101,진성아파트
부산진구,165260201,벽산아파트
부산진구,165270101,기점
부산진구,165270201,개성고등학교
부산진구,165270202,당감백산아파트
부산진구,165290101,기점
동래구,165330101,만덕터널입구
동래구,165330102,개별화물협회
동래구,165350101,온천장역.CGV동래
동래구,165350201,온천장역.SK허브스카이
금정구,165350301,식물원입구
금정구,165350302,온천시장(목욕타운)
동래구,165390401,온천입구
동래구,165390403,동래구노인복지관
동래구,165390404,동래구노인복지관
동래구,165390601,온천장입구
동래구,165400101,온천장역.SK허브스카이
동래구,165430302,동래한전
동래구,165440103,부산원동역
동래구,165440201,뜨란채아파트
동래구,165450101,우성아파트
동래구,165450401,복산동행정복지센터
동래구,165450402,복산동행정복지센터
동래구,165450403,현대아파트.명륜아이파크
동래구,165460101,무량사
동래구,165460301,우성아파트
동래구,165500101,롯데백화점동래점.명륜역
동래구,165500201,명륜역
동래구,165500501,롯데백화점동래점.명륜역
동래구,165500502,롯데백화점동래점
금정구,165510101,온천장
동래구,165510201,명륜역
동래구,165530202,(구)수정약국
동래구,165530301,안락2동수협
동래구,165540101,충렬초등학교
동래구,165540201,안락SK2차아파트
해운대구,165540202,센텀SK뷰아파트
동래구,165540203,안락SK현대아파트
동래구,165560201,동래구보훈회관
동래구,165560202,삼성가든아파트
동래구,165560203,새동래3차아파트
동래구,165560301,세병교
동래구,165560401,동래경찰서.수안역
동래구,165560402,동래경찰서
동래구,165590101,충렬사역.서원시장
동래구,165600202,낙민역.동래고등학교
동래구,165610101,동래시장정문
동래구,165610102,동래구청
동래구,165620201,서원시장
동래구,165620401,충렬사후문
동래구,165630102,금강공원
동래구,165630103,온천119안전센터
동래구,165630104,해양자연사박물관
동래구,165640301,화신아파트
동래구,165640401,부전교회
동래구,165640402,부전교회
연제구,165650201,부전교회
동래구,165670101,조양아파트
동래구,165670201,국제파크아파트
동래구,165670202,조양아파트
동래구,165680301,코끼리자연어린이집
동래구,165680302,학산여자고등학교
동래구,165680401,명장초등학교
동래구,165680501,코끼리자연어린이집
동래구,165680502,학산여자고등학교
동래구,165720201,명륜초등학교.동래향교
동래구,165720501,명륜교차로.명륜자이아파트
동래구,165730101,동래전화국
동래구,165730102,동래전화국
동래구,165730103,동래전화국
동래구,165740201,동래경찰서
동래구,165740202,동래경찰서
동래구,165750301,동래전화국
동래구,165760201,명륜역.동래중학교
동래구,165760202,동래중학교
동래구,165760301,동래구보건소
동래구,165760302,동래중학교
동래구,165770101,중앙여자고등학교
동래구,165770102,동래역2번출구
동래구,165770103,동래역4번출구
동래구,165770301,동래구보건소
동래구,165770302,동래중학교
동래구,165780301,동래역.내성교차로
동래구,165780302,동래역.내성교차로
동래구,165780303,동래역환승센터
동래구,165790301,동래역4번출구
동래구,165790302,중앙여자고등학교
동래구,165800101,달북초등학교
동래구,165800102,사직초등학교앞교차로
동래구,165800103,사직고등학교
동래구,165800201,사직2동행정복지센터
동래구,165800202,삼익아파트
동래구,165800203,사직2동행정복지센터
동래구,165800204,삼익아파트후문
동래구,165800301,동인고등학교
동래구,165800302,사직초등학교
동래구,165800303,사직여고
동래구,165800304,원광사
동래구,165800305,사직여중
동래구,165800403,사직중학교
동래구,165800404,사직초등학교
동래구,165800405,삼정그린코아아파트
동래구,165810201,사직119안전센터
연제구,165810202,아시아드주경기장
동래구,165810203,사직119안전센터
연제구,165810204,아시아드주경기장
동래구,165810301,사직여중
동래구,165810302,사직여고
동래구,165810303,사직중학교
동래구,165810304,사직초등학교
동래구,165820101,동래구노인복지관
동래구,165820102,동래구노인복지관
동래구,165820103,온천입구
동래구,165820201,동래우체국
동래구,165820202,동래우체국
동래구,165830201,명장정수사업소
동래구,165840301,동남아파트
동래구,165840302,명장2치안센터
금정구,165840303,성지아파트
동래구,165850201,온천장
동래구,165850202,스파쇼핑
동래구,165850401,온천장
동래구,165850402,(구)온천극장
동래구,165860101,금강원입구
동래구,165860102,온천시장
동래구,165860301,금강원입구
동래구,165860302,금강공원입구
동래구,165870101,국제파크아파트
동래구,165870102,조양아파트
동래구,165870103,화목아파트
동래구,165870301,화목아파트
동래구,165880301,충렬사후문
동래구,165900201,서원시장
동래구,165900202,삼성아파트
동래구,165900203,1080안경점
동래구,165900204,삼성아파트
동래구,165900401,서원시장
동래구,165920401,안락경동아파트
동래구,165920402,동부산아이존빌아파트
동래구,165920403,안락경동아파트
동래구,165920501,안남초등학교
동래구,165920502,안남초등학교
동래구,165940201,우장춘기념관
동래구,165940202,우장춘기념관
동래구,165940301,온샘초등학교
동래구,165940401,대동아파트
동래구,165940402,래미안101동
동래구,165940403,래미안104동
동래구,165940404,래미안4단지
동래구,165950101,효자암
동래구,165950102,만덕터널입구
동래구,165950201,대동아파트
동래구,165950202,래미안209동
동래구,165950204,래미안201동
동래구,165950401,화신아파트
동래구,165950402,삼협아파트
동래구,165950403,화신아파트
동래구,165950501,화신아파트
연제구,165960101,화신아파트
동래구,165960201,대선주조
동래구,165960202,부산교육대학교후문
동래구,165960203,화신아파트
동래구,165970301,경보아파트
동래구,165970302,달북초등학교
동래구,165970303,동서산장아파트
동래구,165970304,삼정그린코아포레스트
동래구,165980101,경보아파트
동래구,165980102,달북초등학교
동래구,165980103,미남교
동래구,165980104,삼정그린코아포레스트
동래구,165980201,달북초등학교
동래구,165980202,사직초등학교앞교차로
동래구,165980203,사직고등학교
동래구,165980301,온천중학교
동래구,165990301,온천초등학교
동래구,166000201,롯데백화점동래점
동래구,166000301,롯데백화점동래점남문
동래구,166010201,롯데백화점동래점
동래구,166010301,원예고등학교
동래구,166010302,우장춘기념관
동래구,166010303,유락여자중학교
동래구,166020101,유락여자중학교
동래구,166020201,온천초등학교
동래구,166020301,우장춘기념관
동래구,166030101,동래래미안아이파크
동래구,166030201,럭키아파트후문
동래구,166030301,동래래미안아이파크
동래구,166030302,럭키아파트
동래구,166040101,럭키아파트
동래구,166040201,동래럭키아파트
동래구,166040202,광혜병원.미남교차로
동래구,166060201,럭키주유소
동래구,166070203,안락뜨란채삼거리
동래구,166070204,부산원동역
동래구,166100101,세병교
동래구,166110301,명장시장
동래구,166130101,협진태양맨션
동래구,166140201,식물원입구
동래구,166140202,온천시장(목욕타운)
동래구,166140203,경보아파트교차로
금정구,166140301,식물원입구
금정구,166140401,경보아파트교차로
동래구,166150101,식물원입구
동래구,166150301,온천시장
동래구,166150302,온천장
동래구,166160101,온천장역
동래구,166160301,온천장아스타아파트
동래구,166170101,동래역
동래구,166170201,내성중학교
동래구,166180201,내성중학교
동래구,166180401,동래역
동래구,166180402,동래역1번출구
동래구,166220401,동래시장
동래구,166250301,사직역
동래구,166260101,사직운동장
동래구,166260301,사직야구장
동래구,166270201,새마을금고
동래구,166310101,명장2동행정복지센터
동래구,166310401,조양아파트
동래구,166320101,명장정수사업소
동래구,166330101,진흥상가
동래구,166330102,안락초등학교
동래구,166330103,명장1동행정복지센터
동래구,166330201,부산은행
동래구,166330202,안락병원
동래구,166330401,1080안경점
동래구,166330402,삼성아파트
동래구,166340201,충렬주유소
동래구,166350201,동래구청
동래구,166350501,동래구청
동래구,166350502,구 부산지방기상청
동래구,166360301,안락교차로
동래구,166360302,벽산아파트
동래구,166360401,안락교차로
동래구,166390301,안락동우체국.동해선안락역
동래구,166390302,안락동우체국.동해선안락역
동래구,166400101,안락동우체국.동해선안락역
동래구,166400102,안락동우체국.동해선안락역
동래구,166410201,동부산아이존빌아파트
동래구,166410202,안락경동아파트
동래구,166410203,동부산아이존빌아파트
동래구,166410204,안락경동아파트
동래구,166410301,강변뜨란채입구
동래구,166410302,온천천카페거리
동래구,166420101,강변뜨란채아파트
동래구,166420201,온천천카페거리
동래구,166420302,강변뜨란채아파트
동래구,166420303,한성기린아파트
동래구,166430201,동래봉생병원
동래구,166440101,동래봉생병원
동래구,166450101,우성아파트
동래구,166450301,우성아파트
동래구,166460101,강변뜨란채아파트
동래구,166460102,강변뜨란채아파트
동래구,166460103,한성기린아파트
동래구,166460201,안진초등학교
동래구,166460301,벽산한신아파트
동래구,166460302,안민초등학교
동래구,166460303,중앙하이츠아파트
동래구,166480101,온천장
동래구,166480102,온천예식장
동래구,166490201,명장조양맨션(명장역)
동래구,166490202,명장1치안센터
동래구,166500301,명장조양맨션(명장역)
동래구,166510101,명장1동행정복지센터
동래구,166510102,명장시장
동래구,166510103,명장1동새마을금고
동래구,166510104,명장시장
동래구,166510201,명장1동행정복지센터
동래구,166510202,안락초등학교
동래구,166510203,진흥상가
동래구,166510301,명장1치안센터
동래구,166520101,충렬초등학교
동래구,166520301,혜화여고.충렬고
동래구,166540101,한우크로바아파트
동래구,166540102,한우크로바아파트
동래구,166550301,부산은행
동래구,166550302,안락병원
동래구,166560301,명장조양맨션(명장역)
동래구,166570101,명장조양맨션(명장역)
동래구,166580101,벽산한신아파트
동래구,166580102,안민초등학교
동래구,166580103,중앙하이츠아파트
동래구,166590203,낙민역.동래고등학교
동래구,166600101,삼익아파트정문
동래구,166600201,국민시장
동래구,166600201,국민시장
동래구,166600301,삼익아파트
