역명,구군
가야,부산진구
감전(사상구청),사상구
강서구청,강서구
개금,부산진구
거제(법원·검찰청),연제구
경성대·부경대(동명대학교),남구
고촌,기장군
광안,수영구
괴정,사하구
교대,연제구
구남,북구
구명,북구
구서,금정구
구포,북구
국제금융센터·부산은행,남구
금곡,북구
금련산,수영구
금사,금정구
낙민,동래구
남산(부산외국대학교),금정구
남산정(부산폴리텍대학),북구
남천(KBS·수영구청),수영구
남포,중구
낫개,사하구
냉정,사상구
노포(종합버스터미널),금정구
다대포항,사하구
다대포해수욕장,사하구
당리(사하구청),사하구
대연(고려병원),남구
대저,강서구
대티(동주대학),사하구
덕천(부산과기대),북구
덕포,사상구
동대신,서구
동래,동래구
동매,사하구
동백,해운대구
동원,북구
동의대,부산진구
두실,금정구
만덕,북구
망미(병무청),수영구
명륜,동래구
명장,동래구
모덕,사상구
모라,사상구
못골(남구청),남구
문현,남구
물만골,연제구
미남,동래구
민락,수영구
반여농산물시장,해운대구
배산,연제구
범내골,부산진구
범어사,금정구
범일,동구
벡스코(시립미술관),해운대구
부산,동구
부산대,금정구
부산진,동구
부암(온종합병원),부산진구
부전(부산시민공원·송상현광장),부산진구
사상(서부터미널),사상구
사직,동래구
사하,사하구
서대신,서구
서동,금정구
서면,부산진구
석대,해운대구
센텀시티(BEXCO·신세계),해운대구
수안,동래구
수영,수영구
수정(방송통신대),북구
숙등(부민병원),북구
시청(연제),연제구
신장림,사하구
신평,사하구
안평(고촌주택단지),기장군
양정,부산진구
연산,연제구
영산대(아랫반송),해운대구
온천장,동래구
남양산(범어),양산시
부산대양산캠퍼스,양산시
양산(시청·동원과학기술대학교),양산시
증산,양산시
호포,양산시
윗반송,해운대구
율리,북구
자갈치,중구
장림,사하구
장산(해운대백병원),해운대구
장전(부산가톨릭대학교),금정구
전포,부산진구
종합운동장,연제구
좌천,동구
주례,사상구
중동,해운대구
중앙,중구
지게골,남구
체육공원,강서구
초량,동구
충렬사(안락),동래구
토성,서구
하단(부산본병원),사하구
해운대,해운대구
화명,북구
